一级目录	二级目录	三级目录	四级目录
行政办公类	办公用品	办公文具与耗材	笔、笔记本、文件夹、订书机、计算器、直尺，打印纸、墨盒、白板笔、装订夹、色带
行政办公类	办公用品	办公印刷品	名片、宣传册、内部单据、合同纸、手册印刷服务
行政办公类	生活日用品	清洁用品	洗手液、垃圾袋、扫把、拖把、清洁剂、抹布
行政办公类	生活日用品	其它生活日用品	卫生纸
行政办公类	家具	办公家具	办公桌、办公椅、文件柜、沙发、茶几、会议桌、前台
行政办公类	家具	宿舍家具	单人床、上下铺、衣柜、床头柜、书桌、宿舍椅
行政办公类	家具	食堂家具	餐桌、餐椅、备餐台、碗柜、自助餐线
行政办公类	办公环境与设施	环境装饰	窗帘、装饰画、地毯；门牌、部门牌、安全标识、宣传栏、楼层索引
行政办公类	办公环境与设施	环境绿化	绿植购买、租摆
行政办公类	办公环境与设施	文体娱乐设施	台球桌、乒乓球桌、篮球架、健身器材、图书
行政办公类	员工福利	节日礼品与福利	春节礼盒、中秋月饼、生日蛋糕券、防暑降温饮料
行政办公类	食品饮料	酒水	白酒、红酒、茶叶、咖啡、瓶装饮用水、饮料
行政办公类	食品饮料	员工用餐	员工食堂运营外包、集体工作餐订餐（培训、团建）
行政办公类	食品饮料	办公茶歇与饮品	咖啡机及咖啡豆/胶囊采购、桶装/瓶装饮用水、茶包与零食补给等
行政办公类	商务车辆	车辆购置	商务车辆采购
行政办公类	商务车辆	车辆租赁	商务车辆租赁
行政办公类	商务车辆	车辆维保服务	车辆定点维修协议、保养服务、年检代办
行政办公类	商务车辆	通勤班车服务	通勤班车
行政办公类	劳保类	劳保用品	安全帽、防护眼镜、耳塞、防尘口罩、防毒面具、防护手套
行政办公类	劳保类	急救用品	急救药箱、创可贴、止血带、消毒棉片、冰袋
行政办公类	劳保类	一线工装	基础防护工装、行业功能性工装
行政办公类	劳保类	行政工作服	标准职业装、功能型商务装
后勤类	物业租赁	办公室租赁	总部办公楼租赁、区域办事处租赁、共享会议室租赁
后勤类	物业租赁	生活配套租赁	员工宿舍租赁、员工食堂场地租赁、文体活动中心租赁
后勤类	物业租赁	厂房租赁	饲料加工车间租赁、原料立筒仓租赁、成品仓库租赁
后勤类	物业租赁	实验室/研发租赁	质检中心实验室租赁、研发中心中试车间租赁
后勤类	物业租赁	养殖/种植场地租赁	育肥猪场租赁、种猪场租赁、水产养殖塘租赁、饲草种植地租赁
后勤类	物业租赁	临时设施租赁	项目板房租赁、展会临时展厅租赁、临时料棚租赁
后勤类	物业设备与设施	生活电器	宿舍空调、洗衣机、热水器、电视机
后勤类	物业设备与设施	供暖设备	中央空调机组、锅炉、新风系统、风机盘管
后勤类	物业设备与设施	清洁与消毒设备	高压清洗机、扫地车、迷雾消毒机、洗地机
后勤类	物业设备与设施	安防与消防设施	保安亭、灭火器、消防栓系统、火灾自动报警系统、应急照明
后勤类	物业设备与设施	园艺工具与设备	草坪修剪机、绿篱机、洒水车、园林工具
后勤类	物业设备与设施	临时设施	活动板房、集装箱办公室、帐篷租赁、临时厕所设施
后勤类	物业设备与设施	其他物业设备	其他保障物业基础运行的公共系统设备
后勤类	后勤服务	保洁服务	办公楼日常保洁、车间地面清洗、生活垃圾清运
后勤类	后勤服务	环卫服务	厂区道路清扫、垃圾集中点管理、化粪池清掏
后勤类	后勤服务	消杀服务	全场例行消杀、养殖场带猪消毒、食堂防鼠防蟑
后勤类	后勤服务	维修维保服务	空调维保、安防系统维修、厨房设备维修、门锁维修
后勤类	后勤服务	防害设施	门岗守卫、厂区巡逻、监控室值守
后勤类	食堂设备	冷藏与冷冻设备	冷柜、冰箱、冻库、冷藏工作台
后勤类	食堂设备	食品加工设备	和面机、切菜机、绞肉机、洗碗机
后勤类	食堂设备	烹饪与加热设备	燃气灶、蒸箱、烤箱、汤锅、保温售饭台
后勤类	食堂设备	厨房清洁设备	商用消毒柜、油烟净化器、厨余垃圾处理器
后勤类	食堂设备	餐饮器具与配套	餐具（碗、盘、筷）、餐椅餐台、刷卡消费系统
后勤类	食堂食材	蔬菜水果	叶菜类、根茎类、时令水果
后勤类	食堂食材	肉类	猪肉、鸡肉、鱼肉、蛋类
后勤类	食堂食材	粮油	大米、面粉、食用油、杂粮
后勤类	食堂食材	调味品	食盐、酱油、醋、味精、香料
后勤类	食堂食材	冻品及其它食材	冷冻鸡肉、速冻面点、豆制品、干制菌菇
差旅类	国内住宿	国内酒店住宿	酒店住宿费、酒店服务费及城市税、酒店早餐及附加服务费（按政策）
差旅类	国内住宿	国内租房住宿	服务式公寓月租/季租
差旅类	国内交通	国内机票	国内航班经济舱机票、国内航班公务舱/头等舱机票（按政策）机票退改签费用、机票附加费（燃油、机建）
差旅类	国内交通	国内火车票	高铁/动车、普通列车
差旅类	国内交通	国内船票	跨海/江河轮渡客票、内河航运客票、船票退改签费用
差旅类	国内交通	国内长途汽车票	省际/城际大巴车票、长途客运站服务费、官方在线平台购票费用
差旅类	国内交通	国内市内交通费	地铁、公交车票、出租车、网约车费用、市内观光巴士票
差旅类	国内交通	国内包租服务	租车、租船、租飞机以及自驾费用
差旅类	国外住宿	国外酒店住宿	国外酒店住宿费、酒店服务费及城市税、酒店早餐及附加服务费（按政策）
差旅类	国外住宿	国外租房住宿	海外服务式公寓租赁、海外员工宿舍租赁
差旅类	国外交通	国外机票	国际航班经济舱/公务舱机票、外国国内段航班机票、国际机票税费及附加费
差旅类	国外交通	国外火车票	国外高铁（如TGV、新干线）车票、境外城际铁路通票、火车票预订服务费
差旅类	国外交通	国外船票	国际邮轮船票、境外观光游轮船票
差旅类	国外交通	国外长途汽车票	跨国长途汽车通票、旅游巴士车票
差旅类	国外交通	国外市内交通费	地铁、公交车票、出租车、网约车费用、市内观光巴士票
差旅类	国外交通	国外包租服务	商务包车（带司机）服务
差旅类	中介代理	综合卫生服务	国际旅行健康检查、预防接种
差旅类	中介代理	旅行代理	差旅管理公司（TMC）服务费，机票、酒店、火车票的统一预订服务
会议广宣类	广告宣传	广告物料	广告牌、招牌、门头、发光字、指示牌、LOGO等，宣传册、海报、文化墙版面、礼盒、无纺布袋
会议广宣类	广告宣传	广告服务	广告发布、品牌设计、宣传片拍摄、活动策划等
会议广宣类	广告宣传	企业文化工程	指为塑造、传播及落地企业内部文化价值观而进行的系统性、长期性的专项建设与活动
会议广宣类	会议类	会议场地租赁	酒店会议厅/宴会厅租赁、专业会议中心租赁
会议广宣类	会议类	会议物料	会务资料与印刷品、装饰物料
会议广宣类	会议类	会议设备租赁	高级音响、无线话筒、同声传译设备、高清投影仪、LED大屏、电视墙
会议广宣类	会议类	会务服务	现场接待、礼仪、翻译人员外包，注册签到、引导、安保服务
会议广宣类	会议类	会务餐饮服务	会议茶歇（咖啡、茶点、水果）供应、中式/西式工作午餐/晚餐
会议广宣类	业务推广	营销礼品	品牌定制文具（笔、本、U盘）、食品类伴手礼（茶叶、零食礼盒）、海大食品产品
会议广宣类	业务推广	商务宴请	客户招待宴请（中餐、西餐等）、重要访客接待餐费、与美团合作宴请时
IT类	IT硬件	办公电脑	笔记本电脑、台式电脑
IT类	IT硬件	打印扫描设备	打印机、扫描仪、复印机、一体机
IT类	IT硬件	计算与网络设备	服务器、网络交换机、路由器、防火墙、无线AP、存储设备
IT类	IT硬件	音视频会议设备	会议平板、投影仪、摄像头、麦克风、音响、功放、视频会议终端
IT类	IT硬件	物联网和移动终端	工业平板、PDA、传感器、扫码枪、车载终端、智能电表、RFID读写器
IT类	IT硬件	安防设备	网络摄像头、录像机(NVR/DVR)、监控显示器、门禁控制器、报警器
IT类	IT硬件	IT基础设施	UPS不间断电源、机房空调、机柜、精密配电柜、动环监控系统
IT类	IT硬件	弱电布线材料	网线、光纤、弱电辅材、桥架
IT类	IT硬件	核心部件与配件	CPU、内存、硬盘、显卡、工业控制模块、电源、机箱
IT类	IT硬件	设备设施租赁	服务器租赁、办公电脑租赁、网络设备租赁
IT类	IT软件	软件产品采购	操作系统、数据库、ERP系统、办公软件、安全软件
IT类	IT软件	软件授权采购	SaaS订阅费、用户许可证、软件升级服务授权、API调用许可
IT类	IT软件	实施开发服务	定制软件开发、系统集成项目、接口开发、软件升级改造
IT类	IT服务	弱电工程服务	综合网络布线、安防监控安装、网络系统建设、机房建设
IT类	IT服务	基础架构服务	云服务器（IaaS/PaaS）、内容分发网络（CDN）、云存储、专线带宽
IT类	IT服务	运维服务	软件系统维保、硬件设备保修、IT服务台、监控与巡检
IT类	IT服务	人力外包服务	开发人员外包、运维工程师外包、IT顾问外包
IT类	电信服务	网络线路服务	光纤网络续签、宽带网络服务
IT类	电信服务	移动通信服务	移动网络通信服务、云短信服务
IT类	电信服务	固定通讯服务	固定电话通讯服务、有线电视网络
生产设备及相关工程类	成套设备与工程项目	成套生产线设备	饲料加工成套设备、膨化料生产线、预混料机组、养殖场整场设备
生产设备及相关工程类	成套设备与工程项目	技术改造工程	生产线技改、蒸汽管道改造、电控系统升级、设备搬迁安装
生产设备及相关工程类	成套设备与工程项目	储运系统工程	筒仓工程、散装仓建设、输送廊道、投料仓制作
生产设备及相关工程类	成套设备与工程项目	油脂添加工艺工程	油脂添加工程、微量液体添加系统安装
生产设备及相关工程类	成套设备与工程项目	电控与自动化系统工程	PLC/DCS系统、中控室项目、在线监测系统安装
生产设备及相关工程类	成套设备与工程项目	其他工程项目	平台制作、零星工程、管道支架安装
生产设备及相关工程类	单机设备	原料接收与清理设备	地磅、液压翻板、初清筛、自动投料机
生产设备及相关工程类	单机设备	粉碎与研磨设备	锤片粉碎机、超微粉碎机、对辊破碎机
生产设备及相关工程类	单机设备	配料与混合设备	配料秤、双轴混合机、螺带混合机、微量秤
生产设备及相关工程类	单机设备	调质与熟化设备	调质器、膨化机、烘干机、稳定器
生产设备及相关工程类	单机设备	制粒成型设备	制粒机、冷却器、破碎机、分级筛
生产设备及相关工程类	单机设备	喷涂与包装设备	油脂喷涂机、自动包装秤、缝包机、码垛机器人
生产设备及相关工程类	单机设备	输送与搬运设备	皮带输送机、提升机、叉车、液压搬运车、托盘
